83817_E10	-0.0235	0.0019	0.007	-0.0085	-0.002	0.0048	-0.005	-0.0174	-0.0051	-0.0131	Italy	South
83817_E11	-0.0067	0.0077	-0.012	0.0064	-0.0056	-0.0044	-0.0204	0.0087	-0.0071	0.0073	Italy	South
83817_E12	-0.0175	-0.0015	0.0009	-0.0054	0.0093	0.0123	-0.0079	0.0031	-0.0181	-0.007	Italy	South
83817_F01	-0.0241	0.0031	0.001	-0.0026	-0.008	0.0019	0.004	0.0071	-0.0063	-0.0013	Italy	South
83817_F03	-0.0206	0.007	0.003	-0.0071	-0.0027	0.0037	-0.0145	0.0015	-0.0003	-0.0108	Italy	South
83817_F04	-0.028	0.0078	0.0113	-0.0021	-0.0032	-0.0001	0.0024	0.0008	0.0181	0.0067	Italy	South
83817_F05	-0.0184	0.0038	0.0018	-0.0012	-0.0066	-0.0035	0.0273	0.0061	0.0046	0.0029	Italy	South
83817_F06	-0.0249	0.007	0.0091	-0.0036	-0.0043	-0.0023	0.0008	-0.0175	-0.0033	0.0249	Italy	South
83817_F07	-0.0182	0.0018	0.0067	-0.0033	0.0031	0.0066	0.0076	0.0183	-0.01	-0.0022	Italy	South
83817_F08	-0.0234	0.0051	0.0064	-0.0013	0.0001	-0.0054	0.0083	0.0046	-0.0135	0.0001	Italy	South
83817_F09	-0.0109	-0.0035	0.0008	-0.008	-0.0027	0.0078	-0.0181	-0.0004	-0.0052	-0.0018	Italy	South
83817_F10	-0.0152	0.0049	-0.0031	0.0026	0.0019	0.0091	0.0008	0.0036	0.0067	-0.0022	Italy	South
83817_F11	-0.0312	0.0124	0.0107	-0.0047	-0.0112	-0.009	0.0042	-0.0179	0.0037	-0.0034	Italy	South
83817_F12	-0.0224	0.0044	0.002	-0.0031	0.0002	-0.0032	-0.007	0.0017	-0.0056	0.0096	Italy	South
83817_G01	-0.021	0.0022	-0.0017	0.0015	-0.003	-0.0031	-0.0249	0.0148	0.0002	0.0012	Italy	South
83817_G03	-0.0262	0.0091	0.0087	0.0004	-0.011	-0.0143	0.0097	-0.0127	0.0144	-0.0027	Italy	South
83817_G04	-0.0334	0.003	0.01	-0.0051	0.0201	0.0069	-0.006	0.0087	-0.0102	-0.0074	Italy	South
83817_G05	-0.0215	0.0049	0.0027	0.0079	-0.001	-0.0044	-0.0258	-0.0045	0.0027	0.017	Italy	South
83817_G06	-0.0355	0.0147	0.012	-0.0052	-0.0281	-0.0209	0.0235	0.027	0.0039	0.007	Italy	South
83817_G07	-0.0286	0.0114	0.0061	-0.0096	-0.0156	-0.0157	0.0068	0.0086	-0.0107	-0.0032	Italy	South
83817_G08	-0.0346	-0.0011	0.0095	-0.005	0.0453	0.0167	-0.002	-0.009	0.0032	0.0103	Italy	South
83817_G09	-0.0214	0.0024	0.0059	0.0022	0.0069	0.0061	-0.0004	0.0099	0.0189	0.0027	Italy	South
83817_G10	-0.0306	0.0136	0.0123	-0.0071	-0.022	-0.0103	0.0075	0.0039	-0.0036	-0.0117	Italy	South
83817_G11	-0.0177	0.004	0.0005	0.0034	-0.0061	-0.0011	-0.0091	0.0191	0.0162	0.0145	Italy	South
83817_G12	-0.0345	-0.0043	0.0119	-0.0108	0.054	0.0324	-0.0209	0.0121	0.0243	0.0053	Italy	South
83817_H01	-0.0336	0.0097	0.0106	-0.0071	-0.0146	-0.0082	0.0097	0.0016	0.0177	0.0053	Italy	South
83817_H03	-0.0226	0.0015	0.0043	-0.0024	0.0033	-0.0033	-0.007	-0.0096	-0.0038	0.0048	Italy	South
83817_H04	-0.0189	-0.0011	0.0036	-0.0018	0.0077	0.0021	0.0185	0.0078	-0.0006	0.0014	Italy	South
83817_H05	-0.0184	0.0051	0.0041	-0.0028	0.0032	-0.0021	0.009	0.0011	-0.0026	0.0067	Italy	South
83817_H06	-0.0188	0.005	0.0011	0.0007	0.0043	0.0028	-0.003	-0.003	-0.0047	0.0013	Italy	South
83817_H07	-0.0278	0.0061	0.0113	-0.0003	-0.0054	-0.0052	-0.002	0.0063	-0.012	-0.0033	Italy	South
83817_H08	-0.0212	0.0	0.0061	-0.0	-0.0005	0.007	0.0055	-0.0097	-0.0075	-0.013	Italy	South
83817_H09	-0.0161	0.0044	0.0003	0.0037	-0.0006	0.007	0.0029	-0.0348	-0.0057	-0.0111	Italy	South
83817_H10	-0.0302	0.0029	0.0137	-0.0086	0.0221	0.0213	-0.004	-0.003	0.0126	0.0065	Italy	South
83817_H11	-0.0194	0.0007	0.0104	0.0017	0.0002	0.0093	0.0006	0.0115	-0.0035	-0.0004	Italy	South
83817_H12	-0.0232	0.0016	0.0029	-0.0079	-0.0131	0.0009	-0.0096	-0.0207	0.0085	-0.0094	Italy	South
83818_A01	-0.0229	0.0036	0.0053	-0.0028	-0.0075	-0.0054	0.013	-0.0049	-0.0148	-0.0175	Italy	South
83818_A02	-0.0175	0.0048	0.0043	0.0009	0.0023	0.0053	-0.0089	0.0169	0.0089	0.0108	Italy	South
83818_A03	-0.019	0.0008	0.0053	0.0053	0.0077	0.0127	0.0153	-0.0075	0.005	-0.0074	Italy	South
83818_A04	-0.0321	0.0137	0.0066	-0.0155	-0.0225	-0.0084	-0.0022	-0.0135	-0.0073	-0.0093	Italy	South
83818_A05	-0.0011	-0.0022	0.0015	0.0084	0.0043	0.0037	0.0255	-0.0042	0.0078	-0.0072	Germany	Central
83818_A07	0.001	-0.0026	0.0053	0.0094	0.0054	-0.0082	-0.0007	-0.0236	0.0042	-0.0023	Germany	Central
83818_A08	0.0013	0.0076	-0.0139	0.0029	0.0028	0.008	-0.0059	-0.0226	0.0048	-0.0002	Germany	Central
83818_A09	-0.0014	0.0018	0.0034	0.0101	0.0062	-0.0068	0.0087	0.0034	-0.0048	0.0038	Germany	Central
83818_A11	0.001	0.0041	0.0025	0.0098	0.0078	-0.0045	0.0016	0.0064	-0.0049	-0.0032	Germany	Central
83818_A12	-0.0028	0.0053	-0.0068	0.012	0.01	-0.0052	-0.0012	-0.0084	-0.0103	0.0122	Germany	Central
83818_B01	-0.0237	0.0017	0.0062	-0.0057	0.0133	-0.0016	0.0018	0.0114	0.0113	-0.007	Italy	South
83818_B02	-0.028	0.0094	0.0083	-0.0033	0.0012	-0.0144	0.0163	0.001	0.0087	-0.0007	Italy	South
83818_B03	-0.024	0.0022	0.0069	-0.0038	-0.0042	-0.0086	-0.0008	-0.0029	-0.0093	0.0038	Italy	South
83818_B04	-0.0186	0.0026	0.0048	-0.0045	0.0024	0.0094	0.0119	0.0184	0.0118	-0.0079	Italy	South
83818_B05	0.0033	0.0102	-0.0073	0.0127	-0.0028	0.001	-0.0131	-0.0021	0.0111	-0.0098	Germany	Central
83818_B07	0.0001	0.0038	-0.0016	0.0121	0.0185	0.0132	-0.006	0.0075	-0.001	-0.0081	Germany	Central
83818_B08	0.0059	0.0112	-0.0113	0.0135	-0.0007	0.0066	-0.0036	0.0022	0.0022	-0.001	Germany	Central
83818_B09	0.0045	0.0156	-0.0166	0.0089	-0.0001	0.0069	-0.0067	-0.0135	-0.0059	0.0019	Germany	Central
83818_B11	0.0011	-0.0001	0.0032	0.0064	0.0052	0.0038	0.0009	-0.0025	0.0086	-0.0036	Germany	Central
83818_B12	0.0021	-0.0027	-0.0003	0.0073	-0.0023	-0.0022	-0.0009	-0.0041	0.0111	-0.0169	Germany	Central
83818_C01	-0.0206	0.0002	0.0045	-0.0013	0.0108	0.0055	-0.0015	0.0187	-0.0084	0.0032	Italy	South
83818_C02	-0.0315	0.0138	0.0124	-0.0015	-0.0259	-0.019	-0.0057	-0.0148	0.005	-0.0094	Italy	South
83818_C03	0.0028	-0.0094	-0.0005	-0.0051	-0.005	-0.0158	-0.002	0.0111	0.0022	0.0034	Italy	South
83818_C04	-0.0209	0.0003	0.0078	-0.0059	0.0015	-0.0003	-0.0018	-0.0013	-0.0116	-0.0057	Italy	South
83818_C05	0.0076	-0.0053	0.0006	0.0218	-0.0026	-0.0071	0.0102	-0.0131	0.0037	0.0028	GNG	Central
83818_C07	0.0061	0.0061	-0.003	0.0152	-0.0013	-0.0006	0.0033	0.0061	0.0077	-0.013	Germany	Central
83818_C08	0.0058	0.0177	-0.0215	0.0105	0.0114	0.0155	-0.0052	0.004	-0.0092	-0.0021	Germany	Central
83818_C11	0.0017	0.001	-0.0014	0.0154	-0.0015	-0.0058	-0.0058	-0.0021	0.0132	-0.0096	Germany	Central
83818_C12	-0.0048	0.0031	0.0035	0.0042	0.0039	-0.0016	0.0009	-0.0113	-0.0074	-0.0151	Germany	Central
83818_D01	-0.035	0.0154	0.0058	-0.0074	-0.0242	-0.0163	-0.01	0.0002	-0.0053	-0.027	Italy	South
83818_D02	-0.0308	0.0116	0.0152	-0.0035	-0.0159	-0.0078	-0.0067	-0.0049	-0.0265	-0.0136	Italy	South
83818_D03	-0.0191	0.0032	0.001	-0.0047	-0.0011	0.0126	0.015	-0.0021	-0.0055	0.0016	Italy	South
83818_D04	-0.0297	0.0108	0.0102	-0.0081	-0.0169	-0.0086	0.0027	-0.0127	0.0025	0.0022	Italy	South
83818_D05	0.006	-0.0048	0.0059	0.0193	-0.0048	-0.0132	-0.0178	0.0073	0.0153	-0.0018	GNG	Central
83818_D07	-0.0003	0.0013	0.003	0.0163	-0.004	0.0015	-0.0009	-0.0012	-0.0013	0.0109	Germany	Central
83818_D08	-0.0026	-0.001	0.0035	0.0081	0.0023	0.0085	-0.0023	-0.0205	0.0047	-0.0106	Germany	Central
83818_D09	0.0025	0.0061	-0.0105	0.0149	0.0042	-0.0104	-0.0014	0.0186	0.0192	0.0316	Germany	Central
83818_D11	0.0071	-0.0081	0.0062	0.0204	0.0001	-0.0092	0.0071	0.0058	-0.0061	0.0041	GNG	Central
83818_E02	-0.0231	-0.0016	0.0033	-0.0068	0.0047	0.0043	-0.0024	-0.0201	-0.018	0.0061	Italy	South
83818_E03	-0.0228	0.007	0.007	-0.0088	-0.0023	0.003	0.0202	0.0012	-0.0028	-0.0102	Italy	South
83818_E04	-0.0174	0.0011	0.0081	-0.0091	-0.001	0.0091	-0.0037	-0.0099	-0.0077	-0.001	Italy	South
83818_E05	-0.002	0.0026	-0.0023	-0.0005	-0.0063	-0.0064	0.0017	-0.0086	-0.0088	-0.0151	Germany	Central
83818_E06	-0.0073	-0.001	-0.0011	-0.0014	0.0017	0.0095	-0.0127	0.0084	0.0052	0.0098	Germany	Central
83818_E07	-0.0001	-0.003	0.001	0.0111	0.0004	0.0005	0.0001	0.0026	-0.0087	-0.0109	Germany	Central
83818_E08	0.0009	-0.0	-0.0073	0.0032	0.0	0.0061	-0.0067	0.0069	0.0057	-0.0013	Germany	Central
83818_E09	0.0053	-0.0014	0.0051	0.0198	-0.001	0.0013	-0.0056	0.0157	0.0047	-0.0189	GNG	Central
83818_E10	-0.0028	0.0137	-0.012	0.007	-0.0087	0.0037	-0.007	-0.0134	0.0042	-0.0066	Germany	Central
83818_E12	0.0027	0.027	-0.0309	0.01	-0.0069	0.0083	-0.0045	0.0215	0.0038	-0.0105	Germany	Central
83818_F02	-0.0203	0.0008	0.0036	-0.0024	-0.0051	-0.0026	0.0113	0.0122	0.0052	0.0005	Italy	South
83818_F03	-0.0183	0.0093	-0.0006	-0.0015	0.0018	0.0032	0.003	-0.0222	-0.0092	0.014	Italy	South
83818_F04	-0.023	0.0035	0.006	-0.0002	-0.0044	0.0018	-0.0036	0.0135	-0.0122	-0.0045	Italy	South
83818_F05	-0.0048	0.0008	-0.0	0.0112	0.003	0.0087	0.0104	-0.001	0.0059	0.0158	Germany	Central
83818_F06	0.0042	0.0026	0.0019	0.0189	-0.0031	0.0024	0.0118	0.004	-0.0036	-0.0057	GNG	Central
83818_F07	0.0017	0.008	-0.013	0.0106	0.0007	0.0088	0.008	0.0098	0.011	-0.0026	Germany	Central
83818_F08	-0.0009	0.0119	-0.0104	0.0071	-0.0067	-0.0017	0.0116	0.0008	0.0135	0.0013	Germany	Central
83818_F09	-0.0	-0.0044	0.003	0.0109	0.0055	-0.0073	0.0231	0.0012	0.016	0.0068	Germany	Central
83818_F10	0.0002	-0.0001	-0.0002	0.017	-0.0025	0.0014	0.0027	-0.0029	0.0005	0.006	Germany	Central
83818_F12	0.0051	0.0049	-0.0012	0.0112	-0.0003	-0.0064	-0.0008	0.0121	-0.0056	-0.0217	GNG	Central
83818_G02	-0.0293	0.0151	0.012	-0.002	-0.0179	-0.0063	0.0109	0.0003	-0.0003	0.009	Italy	South
83818_G03	-0.0321	0.0107	0.0138	-0.0078	-0.0182	-0.0069	0.0178	-0.0192	0.0252	0.0148	Italy	South
83818_G04	-0.0327	-0.0022	0.0157	-0.006	0.0506	0.0191	-0.0183	-0.0104	-0.006	-0.008	Italy	South
83818_G05	-0.0074	0.0039	0.0083	0.002	0.0073	-0.0048	-0.0151	0.0194	-0.0009	-0.0047	Germany	Central
83818_G06	-0.0004	0.0047	-0.0024	0.003	-0.0001	0.0046	-0.0037	0.0029	0.0016	-0.0004	Germany	Central
83818_G07	0.0017	0.014	-0.0111	0.0072	-0.0019	0.0104	-0.002	-0.0106	0.0166	-0.0262	Germany	Central
83818_G08	-0.0034	-0.0018	0.0004	-0.0037	0.0051	0.0044	-0.0062	-0.0061	0.0085	-0.0004	Germany	Central
83818_G09	-0.0039	0.0024	0.006	0.0055	0.0009	0.0032	-0.0038	0.0078	-0.0012	-0.0095	Germany	Central
83818_G10	-0.0012	0.0108	-0.0041	0.0131	0.0007	0.0001	0.0059	-0.0307	0.0128	0.021	Germany	Central
83818_G12	-0.0023	-0.0046	0.004	0.0121	0.0028	-0.0094	-0.0091	-0.0025	-0.0139	-0.0007	Germany	Central
83818_H02	-0.0286	0.0059	0.0078	0.0011	-0.0145	-0.0061	0.0005	0.0043	0.0138	0.0026	Italy	South
83818_H03	-0.0219	0.0023	0.003	-0.0027	0.0125	0.0174	0.0027	-0.0086	-0.0198	0.0188	Italy	South
83818_H04	-0.0174	0.0069	0.006	-0.0057	-0.0024	0.0116	-0.0013	0.017	-0.0166	-0.009	Italy	South
83818_H06	-0.0032	-0.0018	0.0021	0.0057	0.0017	0.0064	0.0211	-0.0149	0.003	-0.0123	Germany	Central
83818_H07	0.0052	0.0095	-0.0172	0.0099	-0.0079	0.0087	-0.0012	-0.0068	0.0028	-0.0067	Germany	Central
83818_H08	0.0024	-0.0024	-0.0001	0.0136	-0.0062	-0.0119	0.004	-0.0052	-0.0045	-0.0016	Germany	Central
83818_H09	0.0024	0.0117	-0.0165	0.0086	0.0007	0.0077	0.0015	-0.0119	0.0166	0.0051	Germany	Central
83818_H10	0.0	0.0094	-0.0086	0.0058	-0.0025	-0.0118	-0.0023	-0.0209	0.0039	-0.0003	Germany	Central
83818_H12	-0.0008	0.0088	-0.017	0.007	-0.0003	-0.0016	0.0036	0.0049	-0.0119	0.0155	Germany	Central
86189_A01	-0.0297	0.0118	0.0102	-0.0052	-0.0258	-0.0152	-0.0064	-0.007	0.0086	-0.0093	Italy	South
86189_A02	-0.0189	0.0019	0.0009	-0.0041	0.0019	-0.0024	-0.0084	0.0053	-0.0048	-0.0044	Italy	South
86189_A03	-0.0316	0.0118	0.008	-0.0012	-0.0158	-0.0049	-0.0049	0.0083	-0.0084	-0.0148	Italy	South
86189_A04	-0.0182	0.0017	0.0059	0.0016	0.0052	0.0065	-0.0118	0.0206	-0.0137	0.0086	Italy	South
86189_B01	-0.0184	-0.0018	0.002	0.0007	0.0117	-0.0148	-0.0026	-0.0134	-0.0114	-0.0004	Italy	South
86189_B02	-0.0234	0.005	0.0052	-0.0002	0.001	0.0107	0.0143	0.012	0.0081	0.0046	Italy	South
86189_B03	-0.0132	-0.0051	0.0012	-0.0041	0.0211	0.0103	-0.0048	0.008	0.0012	0.0205	Italy	South
86189_B04	-0.0129	-0.0018	0.0062	0.0016	0.0106	0.003	-0.0393	0.0003	0.0041	-0.0026	Italy	South
86189_C02	-0.0274	0.0141	0.0034	-0.0133	-0.0245	-0.0089	-0.0042	0.0023	-0.0019	0.0002	Italy	South
86189_C03	-0.0166	0.0042	0.0029	0.0009	0.0006	-0.0013	-0.0033	0.017	-0.0087	-0.0022	Italy	South
86189_C04	-0.031	0.0117	0.0125	-0.0043	-0.0223	-0.0127	-0.0108	0.0035	0.0078	-0.0102	Italy	South
86189_D01	-0.0202	0.0023	0.0074	0.0046	0.0052	0.0011	-0.0052	-0.0112	0.0107	-0.0009	Italy	South
86189_D02	-0.0264	0.0104	0.0101	-0.0021	-0.0036	-0.0022	-0.0085	-0.0026	0.0183	-0.0127	Italy	South
86189_D03	-0.0248	0.0021	0.0059	-0.0096	-0.012	-0.0015	0.0025	-0.0095	0.0102	-0.0053	Italy	South
86189_D04	-0.0326	0.0169	0.0136	-0.009	-0.0235	-0.0147	0.0085	-0.0043	-0.0086	-0.0104	Italy	South
86189_E01	-0.03	0.0127	0.008	-0.0064	-0.0185	-0.0137	0.0087	0.0214	-0.0011	-0.0028	Italy	South
86189_E02	-0.0221	0.0041	-0.0003	0.008	0.0046	0.0071	0.0061	-0.0134	-0.0029	0.0125	Italy	South
86189_E03	-0.0245	0.0095	0.0085	-0.0085	-0.0019	-0.0055	-0.0206	-0.0059	0.0122	0.014	Italy	South
86189_E04	-0.0197	0.0014	0.0014	-0.0038	0.0067	-0.0034	-0.0038	0.0084	0.0001	-0.0136	Italy	South
86189_F01	-0.0282	0.0118	0.004	-0.0	-0.0217	-0.0036	-0.0041	0.0	0.0135	0.0101	Italy	South
86189_F02	-0.0336	0.0121	0.0112	-0.0053	-0.0206	-0.0069	-0.0029	-0.0001	-0.0049	-0.016	Italy	South
86189_F03	-0.013	0.0027	0.0034	-0.0016	0.0052	0.0052	0.0137	0.0062	-0.0173	-0.005	Italy	South
86189_G01	-0.0315	0.0104	0.0132	-0.0119	-0.0124	-0.0205	-0.0109	-0.0093	-0.0065	-0.0036	Italy	South
86189_G02	-0.0111	0.0001	0.002	0.0045	-0.0002	0.0043	0.0046	0.0036	0.0039	0.0006	Italy	South
86189_G03	-0.0366	0.0173	0.0112	-0.0094	-0.0141	-0.0073	0.0101	0.0127	0.0002	0.0151	Italy	South
86189_H01	-0.0154	0.0007	-0.0025	-0.001	0.0002	0.0021	0.0064	0.0044	0.0032	0.0072	Italy	South
